date,exercise,weight,reps,comment,bodyweight,
11/21/14,Bench Press,93 kg,1x5,,,
,,,2x4,,,
,Dips,,3x10,,,
,Yates Row,50 kg,3x8,,,
,Pull-up,,3x5,,,
11/24/14,Bench Press,80 kg,3x6,should be OHP day,,
,Dips,,3x7,oh well,,
,Yates Row,55 kg,3x8,,,
,Cable Row,45 kg,3x7,,,
11/25/14,Barbell Squat,80 kg,3x5,,,
,Front Squat,40 kg,3x7,,,
,One-legged Press,30 kg,3x7,left still weaker,,
11/27/14,OHP,45 kg,3x5,deload,,
,Face pull,30 kg,3x10,,,
,Good Morning,10 kg,3x10,,,
,L Chin-up,,2x6,,,
,,,1x9,PR!,,
,Pull-up,,3x4,,,
,Deadlift,105 kg,1x3,PR! (grip failed),,
12/1/14,Barbell Squat,80 kg,3x5,,,
,One-legged Press,30 kg,3x10,,,
,Bench Press,91 kg,3x5,,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x7,,,
,Pull-up,,3x5,,,
,Good Morning,15 kg,3x10,,,
12/3/14,OHP,45 kg,3x5,tough,,
,Face pull,35 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,4x5,,,
,Deadlift,65 kg,2x6,working on form,,
12/5/14,Barbell Squat,85 kg,3x5,,,
,Bench Press,85 kg,3x5,,,
,Dips,,3x10,,,
,Cable Row,45 kg,3x7,,,
,Pull-up,,3x5,,,
12/8/14,Barbell Squat,85 kg,3x5,barely there,,
,OHP,50 kg,3x5,ok,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,L Chin-up,,5x5,,,
12/10/14,Bench Press,85 kg,2x5,,,
,,90 kg,1x5,,,
,Dips,,3x10,,,
,Cable Row,40 kg,3x6,,,
,Pull-up,,3x5,,,
,Deadlift,100 kg,1x5,grip failed,,
12/12/14,Barbell Squat,90 kg,2x5,,,
,,85 kg,1x5,,,
,Front Squat,30 kg,3x10,,,
,OHP,50 kg,1x2,ayy lmao,,
,,45 kg,3x5,,,
,L Chin-up,,3x5,,,
12/16/14,Barbell Squat,50 kg,1x6,very tired,,
12/17/14,Barbell Squat,95 kg,1x3,damn hard,,
,,85 kg,3x5,good form,,
,Bench Press,90 kg,2x5,,,
,,100 kg,1x5,,,
12/18/14,OHP,40 kg,3x7,,,
,Face pull,35 kg,3x7,,,
,Dumbell Raise,5 kg,3x7,,,
,L Chin-up,,5x5,,,
12/23/14,Barbell Squat,90 kg,1x3,lightheaded,,
,,80 kg,1x5,,,
,,70 kg,3x5,,,
,One-legged Press,20 kg,3x10,,,
,Pull-up,,3x6,,,
12/26/14,Barbell Squat,85 kg,1x3,,,
,,,3x5,,,
,Bench Press,85 kg,2x5,good form,,
,,,1x6,,,
,L Chin-up,,2x5,,,
,,,1x6,,,
12/29/14,OHP,50 kg,3x5,,,
,,55 kg,1x3,PR,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,Dips,,1x10,,,
,Deadlift,90 kg,1x1,,,
,,105 kg,1x4,,,
,Good Morning,20 kg,2x10,,,
,Pull-up,,5x5,,,
,Barbell Curl,15 kg,3x10,,,
1/5/15,Bench Press,85 kg,5x5,getting back,,
,Dips,,3x7,,,
,Cable Row,35 kg,3x5,,,
,Pull-up,,3x5,,,
1/6/15,Barbell Squat,85 kg,5x5,lightheaded,,
,OHP,45 kg,3x5,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,L Chin-up,,3x5,,,
1/7/15,Pull-up,,5x5,short visit,,
,Chin-up,,3x3,,,
,Hammer Curl,6 kg,3x10,,,
,Standing Calf Raise,,10x10,fuarrk,,
1/9/15,Bench Press,90 kg,4x5,,74 kg,
,,,1x4,dat last rep,,
,Dips,,3x7,,,
,Pull-up,,5x4,,,
,Yates Row,50 kg,3x7,,,
1/10/15,Barbell Squat,85 kg,3x5,good form,,
,One-legged Press,35 kg,3x7,,,
,Dumbell Press,16 kg,3x10,,,
1/13/15,Bench Press,90 kg,3x5,,,
,Dips,,3x7,,,
,Pull-up,,5x5,,,
,Chin-up,,2x5,,,
,Barbell Squat,40 kg,2x10,,,
1/15/15,Barbell Squat,70 kg,5x5,lethargic,,
,OHP,40 kg,5x5,,,
,Deadlift,75 kg,1x6,,,
,Hanging Leg Raise,,3x5,,,
,L Chin-up,,3x5,,,
1/16/15,Bench Press,95 kg,1x4,,,
,,92.5 kg,1x5,,,
,,90 kg,1x5,,,
,Dips,,2x10,,,
,,,1x7,,,
,Barbell Row,45 kg,3x5,,,
,Face pull,30 kg,3x10,,,
,Pull-up,,5x5,,,
,Hammer Curl,7 kg,3x10,,,
1/20/15,Barbell Squat,75 kg,5x5,,,
,Bench Press,80 kg,3x5,,,
,Dips,,3x10,,,
,Pull-up,,5x5,,,
,Dumbell Row,11 kg,2x10,,,
,Hammer Curl,5 kg,3x10,,,
,One-legged Press,29 kg,2x7,,,
1/22/15,OHP,50 kg,1x3,,73.5 kg,
,,45 kg,5x5,,,
,Face pull,30 kg,3x10,,,
,Deadlift,100 kg,1x5,,,
,L Chin-up,,3x5,,,
,,,1x6,,,
1/24/15,Barbell Squat,70 kg,4x5,,,
,,,1x10,,,
,Bench Press,80 kg,3x5,,,
,Dips,,3x10,,,
,Pull-up,,5x5,,,
,,,1x7,,,
1/26/15,Bench Press,85 kg,3x5,,,
,Dips,,3x10,,,
,Pull-up,,5x5,,,
,L Chin-up,,2x3,,,
1/27/15,Barbell Squat,85 kg,4x5,,,
,One-legged Press,30 kg,3x7,,,
,Pull-up,,5x5,,,
,Cable Row,40 kg,3x7,,,
1/28/15,OHP,50 kg,3x5,,73.5 kg,
,Face pull,35 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,Deadlift,100 kg,1x5,,,
,L Chin-up,,5x5,,,
1/30/15,Barbell Squat,90 kg,3x5,,,
,Bench Press,90 kg,3x5,,,
,Dips,,3x10,,,
,Pendlay Row,60 kg,3x5,,,
,Pull-up,,5x5,,,
2/3/15,OHP,52 kg,3x5,,73 kg,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,Dumbell Press,10 kg,3x10,,,
,L Chin-up,,3x5,,,
,Chin-up,,3x5,,,
2/4/15,Barbell Squat,90 kg,2x5,,,
,,,1x6,,,
,One-legged Press,30 kg,3x7,,,
,Hanging Leg Raise,,3x7,,,
2/5/15,Bench Press,85 kg,3x5,,,
,Dips,,3x10,,,
,Cable Row,40 kg,3x10,,,
,Pendlay Row,60 kg,3x5,,,
,Good Morning,10 kg,3x10,,,
,Deadlift,105 kg,1x3,grip failed,,
,,,1x2,grip failed,,
,,,1x3,mixed grip,,
,Triceps Pulldown,30 kg,3x10,,,
,Hammer Curl,6 kg,3x10,,,
2/10/15,Barbell Squat,93 kg,3x5,,,
,OHP,52 kg,1x4,,,
,,51 kg,1x5,,,
,,,1x4,,,
,,46 kg,1x5,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,35 kg,3x10,,,
,Pull-up,,3x7,,,
,L Chin-up,,3x5,,,
2/12/15,Bench Press,95 kg,3x5,w/help,73 kg,
,Dips,,3x10,,,
,Pendlay Row,60 kg,3x5,,,
,Deadlift,105 kg,1x5,mixed grip,,
,Pull-up,,1x5,,,
2/13/15,Barbell Squat,90 kg,3x5,,73 kg,
,OHP,52 kg,2x5,,,
,,,1x2,no strength left,,
,Pull-up,,3x5,,,
2/16/15,Barbell Squat,85 kg,2x5,lethargic,,
,,,1x6,,,
,Front Squat,50 kg,1x5,,,
,Bench Press,90 kg,1x4,,,
,,85 kg,3x5,,,
,Dips,,3x9,,,
,Cable Row,40 kg,3x7,,,
,Pull-up,,3x5,,,
2/26/15,Push-up,,2x20,,,
2/27/15,Barbell Squat,85 kg,5x5,,,
,OHP,45 kg,3x5,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,Pull-up,,5x5,,,
3/3/15,Barbell Squat,85 kg,3x5,,,
,Front Squat,50 kg,1x5,,,
,Bench Press,80 kg,2x5,,,
,,95 kg,1x3,,,
,Dips,,3x7,,,
,Pull-up,,3x5,,,
,Hammer Curl,10 kg,2x10,,,
3/5/15,OHP,50 kg,3x5,,,
,Pendlay Row,60 kg,3x5,,,
,Deadlift,105 kg,1x5,,,
,Hanging Leg Raise,,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,Hammer Curl,10 kg,3x10,,,
3/10/15,Barbell Squat,90 kg,3x5,,,
,Bench Press,90 kg,1x3,,,
,,85 kg,3x5,,,
,Dips,,3x8,,,
,Pendlay Row,60 kg,3x5,,,
,Yates Row,60 kg,3x5,,,
,Pull-up,,3x5,,,
3/11/15,OHP,50 kg,3x5,,72.9 kg,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,35 kg,3x10,,,
,Deadlift,90 kg,1x5,,,
,,110 kg,1x2,,,
,EZ-bar Curl,20 kg,3x10,,,
,L Chin-up,,2x5,,,
,,,1x6,,,
3/13/15,Barbell Squat,95 kg,1x5,form breaking,73.2 kg,
,,90 kg,2x5,,,
,Bench Press,90 kg,3x5,,,
,Dips,,2x10,,,
,,,1x8,,,
,Pendlay Row,55 kg,3x5,,,
,Pull-up,,3x5,,,
3/16/15,Barbell Squat,70 kg,3x5,"tired, lightheaded",,
,OHP,40 kg,3x5,,,
,L Chin-up,,3x5,,,
,Hanging Leg Raise,,3x6,,,
3/19/15,Bench Press,93 kg,2x5,,72-73 kg,
,,,1x4,,,
,Dips,,3x7,,,
,Pull-up,,3x4,,,
,Deadlift,40 kg,1x5,,,
3/20/15,Front Squat,45 kg,2x10,mid back hurts,72-73 kg,
,Barbell Squat,45 kg,1x10,,,
,OHP,30 kg,3x10,,,
,EZ-bar Curl,15 kg,3x10,,,
,Hammer Curl,10 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
3/24/15,Barbell Squat,93 kg,3x5,5th rep very hard,72-73 kg,
,Bench Press,85 kg,3x5,,,
,Dips,,3x10,,,
,Pull-up,,5x5,,,
,Cable Row,30 kg,3x10,,,
3/26/15,OHP,50 kg,3x5,,,
,Deadlift,115 kg,1x3,grip failed,,
,,,1x1,mixed grip,,
,,,1x2,overhand,,
,L Chin-up,,2x5,,,
,,,1x7,psoas ache,,
,,,1x10,yeah,,
,Dumbell Raise,5 kg,3x10,,,
3/28/15,Barbell Squat,93 kg,3x5,5th rep hard,,
,Bench Press,90 kg,3x5,,,
,Dips,,3x8,,,
3/31/15,Barbell Squat,93 kg,3x5,5th rep hard,,
,OHP,50 kg,3x5,,,
,Face pull,30 kg,3x10,,,
,Dumbell Raise,5 kg,3x10,,,
,Pull-up,,5x5,,,
4/1/15,Bench Press,90 kg,2x5,still tired,,
,,,1x3,,,
,Dips,,3x7,,,
4/6/15,Barbell Squat,93 kg,3x5,,,
,OHP,52 kg,1x4,,,
,,46 kg,2x4,lightheaded,,
,Dumbell Raise,5 kg,3x10,,,
4/8/15,Bench Press,95 kg,1x5,PR?,,
,,,1x4,,,
,,,1x3,,,
,,65 kg,1x10,,,
,Incline Bench,50 kg,1x10,,,
,Deadlift,100 kg,3x5,,,
,L Chin-up,,5x5,,,
4/10/15,Barbell Squat,92.5 kg,3x5,,,
,OHP,45 kg,3x5,deload,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,1x10,,,
,,35 kg,1x10,,,
,,40 kg,1x10,,,
,Pull-up,,5x5,,,
4/14/15,Barbell Squat,95 kg,3x5,shaky 5th rep,,
,OHP,50 kg,3x5,,,
,Dumbell Raise,5 kg,3x10,,,
,Hammer Curl,5 kg,3x10,,,
,L Chin-up,,2x5,,,
,,,1x10,,,
4/16/15,Bench Press,100 kg,3x5,w/help,,
,Dips,,3x7,,,
,Pull-up,,3x5,,,
,Deadlift,110 kg,1x5,,,
4/18/15,Barbell Squat,90 kg,3x5,,,
,Pendlay Row,55 kg,3x5,,,
,Face pull,40 kg,3x10,,,
,L Chin-up,,3x5,,,
4/21/15,Bench Press,95 kg,1x4,,,
,,,1x2,,,
,,80 kg,1x7,,,
,,,1x4,,,
,Incline Bench,30 kg,2x10,,,
,Dips,,3x5,,,
,Triceps Pulldown,5 kg,3x12,,,
,Hanging Leg Raise,,3x7,,,
,Pull-up,,3x5,,,
4/22/15,Barbell Squat,85 kg,3x7,,,
,One-legged Press,25 kg,3x7,,,
4/23/15,OHP,52.5 kg,3x5,,,
,Deadlift,95 kg,1x1,,,
,,115 kg,1x2,grip failed,,
,,115 kg,1x5,mixed grip,,
,L Chin-up,,5x5,,,
4/25/15,Bench Press,95 kg,1x2,,,
,,90 kg,1x4,,,
,,85 kg,1x5,,,
,Incline Bench,70 kg,3x5,,,
,Dips,,3x7,,,
,Barbell Squat,90 kg,3x5,,,
,Dumbell Row,20 kg,3x7,,,
4/28/15,Barbell Squat,95 kg,3x5,,,
,OHP,40 kg,3x7,deload,,
,Face pull,25 kg,3x10,,,
,Chin-up,,4x7,,,
4/29/15,Bench Press,80 kg,3x5,,,
,Dips,,3x10,,,
4/30/15,Deadlift,120 kg,1x5,mixed grip (PR!),,
,Pull-up,,5x5,,,
5/2/15,Barbell Squat,98 kg,3x5,PR!,,
,OHP,50 kg,3x5,,,
,Dumbell Raise,5 kg,3x10,,,
,Face pull,30 kg,3x10,,,
,L Chin-up,,5x5,,,
,Pull-up,,3x5,,,
5/5/15,Bench Press,80 kg,1x10,flu-ridden,,
,,,1x8,,,
,,,1x7,,,
,Dips,,3x7,,,
,,,2x10,,,
,Pull-up,,5x5,,,
5/7/15,Barbell Squat,90 kg,3x5,,,
,L Chin-up,,3x7,,,
5/26/15,Barbell Squat,85 kg,5x5,picking up again,71.5 kg,
,Bench Press,80 kg,3x5,,,
,Dips,,3x5,,,
,Pull-up,,3x5,,,
5/28/15,OHP,45 kg,5x5,,,
,Deadlift,105 kg,1x5,mixed grip,,
,Dumbell Raise,5 kg,3x10,,,
,L Chin-up,,3x7,,,
5/29/15,Face pull,30 kg,3x10,still doms,,
,Cable Row,30 kg,3x10,,,
,EZ-bar Curl,15 kg,3x7,,,
6/1/15,Bench Press,90 kg,1x5,,,
,,,1x4,w/help,,
,,,1x3,w/help,,
,,,1x3,w/help,,
,Dips,,3x8,,,
,Barbell Squat,70 kg,3x5,,,
6/3/15,OHP,50 kg,3x4,left hand weak,,
,Deadlift,115 kg,1x2,normal grip,,
,,115 kg,1x5,mixed grip,,
